Standard Mail Flats - Commercial & Nonprofit,,,,,,,01.27.13,,pg 15,,,
,,,,,,,,,,,,
Commercial,,,,,,,,,,,,
3.3 oz or less,Carrier Route (ECR),,,,Automation,,,,Nonautomation,,,
Entry Point,Saturation,High Density Plus,High Density,Carrier Route,5-Digit Scheme,3-Digit Scheme,ADC,Mixed ADC,5-Digit,3-Digit,ADC,Mixed ADC
None,0.201,0.224,0.228,0.279,0.362,0.455,0.501,0.511,0.401,0.479,0.529,0.566
DNDC,0.168,0.191,0.195,0.246,0.329,0.422,0.468,0.478,0.368,0.446,0.496,0.533
DSCF,0.158,0.181,0.185,0.236,0.319,0.412,0.458,-,0.358,0.436,0.486,-
DDU,0.149,0.172,0.176,0.227,-,-,-,-,-,-,-,-
More than 3.3 ounces,,,,,,,,,,,,
None,0.609,0.609,0.609,0.699,0.751,0.751,0.751,0.751,0.751,0.751,0.751,0.751
DNDC,0.448,0.448,0.448,0.538,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59
DSCF,0.4,0.4,0.4,0.49,0.542,0.542,0.542,-,0.542,0.542,0.542,-
DDU,0.357,0.357,0.357,0.447,-,-,-,-,-,-,-,-
Per Pc,0.075,0.098,0.102,0.135,0.207,0.3,0.346,0.356,0.246,0.324,0.374,0.411
,,,,,,,,,,,,
,,,,,,,,,,,,
Nonprofit,,,,,,,,,,,,
3.3 oz or less,Carrier Route (ECR),,,,Automation,,,,Nonautomation,,,
Entry Point,Saturation,High Density Plus,High Density,Carrier Route,5-Digit Scheme,3-Digit Scheme,ADC,Mixed ADC,5-Digit,3-Digit,ADC,Mixed ADC
None,0.126,0.149,0.153,0.202,0.216,0.306,0.352,0.362,0.258,0.336,0.38,0.417
DNDC,0.093,0.116,0.12,0.169,0.183,0.273,0.319,0.329,0.225,0.303,0.347,0.384
DSCF,0.083,0.106,0.11,0.159,0.173,0.263,0.309,-,0.215,0.293,0.337,-
DDU,0.074,0.097,0.101,0.15,-,-,-,-,-,-,-,-
More than 3.3 ounces,,,,,,,,,,,,
None,0.439,0.439,0.439,0.529,0.648,0.648,0.648,0.648,0.648,0.648,0.648,0.648
DNDC,0.278,0.278,0.278,0.368,0.487,0.487,0.487,0.487,0.487,0.487,0.487,0.487
DSCF,0.23,0.23,0.23,0.32,0.439,0.439,0.439,-,0.439,0.439,0.439,-
DDU,0.187,0.187,0.187,0.277,-,-,-,-,-,-,-,-
Per Pc,0.035,0.058,0.062,0.093,0.082,0.172,0.218,0.228,0.124,0.202,0.246,0.283
